video_id,channel_id,channel_name,duration_sec,category,video_url
NwJVdWB7w9I,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,2982.0,Audio-book,https://www.youtube.com/watch?v=NwJVdWB7w9I
O--hpnInciA,UCmCCTsDl-eCKw91shC7ZmMw,Desh TV News,1930.0,Talk-show,https://www.youtube.com/watch?v=O--hpnInciA
O2ua5G3-oLg,UCF7USNwvrBhFCXsohC_U9ag,My AudioBook,2682.0,Audio-book,https://www.youtube.com/watch?v=O2ua5G3-oLg
O97lWOcdWyY,UCCuL_mX2s39ZSn9uK3tIFWw,Debate for Democracy,2601.0,Political,https://youtu.be/O97lWOcdWyY?si=Hi42QUKTIVDE6Xhf
O98BGbdBw2U,UC4LY-gzC8cF_pIrWcyASPqg,জনতার কণ্ঠ | Janatar Kantho,1416.0,Talk-show,https://www.youtube.com/watch?v=O98BGbdBw2U
OAaj4TqP4WI,UCACNN-XoSJZLlkVAkc09B4Q,Eso Galpo Shuni,3348.0,Audio-book,https://www.youtube.com/watch?v=OAaj4TqP4WI
ODAv4krbs4Y,UCPihnmmuYscyPAIQVkVuegA,VHF TV,2463.0,Comedy / Satire,https://www.youtube.com/watch?v=ODAv4krbs4Y
OH3NSI-cc3c,UCIIkOzwZIdLfHa4Q13dQrkw,DW Bangla,1801.0,News,https://www.youtube.com/watch?v=OH3NSI-cc3c
OJWbXkmmo-c,UCs2cWnd7Sb1eXT-50oMOxlw,Jhankar Mahbub Vlogs,3617.0,Podcast,https://www.youtube.com/watch?v=OJWbXkmmo-c
OLqmfQg5NN4,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,4865.0,Audio-book,https://www.youtube.com/watch?v=OLqmfQg5NN4
ONLWCllzs4Y,UCNUFterLJ9vpFZZ0try7sLA,SOMOY TV Bulletin,2804.0,Talk-show,https://www.youtube.com/watch?v=ONLWCllzs4Y
OPAwumc4hZI,UC_i4gYAfVMl3o1VtnqwIHXg,Sundorbon Kirton Studio,6220.0,Music,https://www.youtube.com/watch?v=OPAwumc4hZI
OZ3zaOngs_E,UCuaKfe_NyVViSRTx25VhkWQ,Kabbik - Bangla Audiobook,3836.0,Audio-book,https://www.youtube.com/watch?v=OZ3zaOngs_E
Oc8nDiDnHNs,UCACNN-XoSJZLlkVAkc09B4Q,Eso Galpo Shuni,4045.0,Audio-book,https://www.youtube.com/watch?v=Oc8nDiDnHNs
OcvEMgAlgbA,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,4341.0,Audio-book,https://www.youtube.com/watch?v=OcvEMgAlgbA
Of1L2l7Bgsg,UCF7USNwvrBhFCXsohC_U9ag,My AudioBook,2619.0,Audio-book,https://www.youtube.com/watch?v=Of1L2l7Bgsg
OheedtDJ9A0,UCoYm8R_D54awmym_eIbQPAQ,Rangon Entertainment,4378.0,Natok,https://www.youtube.com/watch?v=OheedtDJ9A0
OmhGVPBATTY,UCbgcYEdMsuypG2NJ-znBp3w,ATN Bangla News,1313.0,Talk-show,https://www.youtube.com/watch?v=OmhGVPBATTY
OpGere8X54k,UCKkco3ii64aHLMb8JilZP5g,Golpo Toru ред ржЧрж▓рзНржк рждрж░рзБ,2543.0,Audio-book,https://www.youtube.com/watch?v=OpGere8X54k
Oy2Cuzb1Jsg,UCeo5nGBJGzBNq8XGAcoP6Dg,Fuchkabaaj,2607.0,Talk-show,https://www.youtube.com/watch?v=Oy2Cuzb1Jsg
P1LKHOKDAhA,UCjnCQyA146cEi8GORbUPryQ,Golpo Adda,337.0,Podcast,https://www.youtube.com/watch?v=P1LKHOKDAhA
P3GTbYJoX_g,UCNUFterLJ9vpFZZ0try7sLA,SOMOY TV Bulletin,1755.0,Talk-show,https://www.youtube.com/watch?v=P3GTbYJoX_g
P4tP0Vsk8Es,UC8DGiAO11Kq2CNqRJ-969PA,Batbox,4493.0,Commentary,https://www.youtube.com/watch?v=P4tP0Vsk8Es
P5QLVO82OI8,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,3377.0,Audio-book,https://www.youtube.com/watch?v=P5QLVO82OI8
P8zCfTsUsz8,UCykMzOpUnTBMsKP_BkjkHfQ,Sadman Sadik,2554.0,Podcast,https://www.youtube.com/watch?v=P8zCfTsUsz8
PAM21_zZvnY,UClcW8Lfj5zE67tvsQ27lb_g,DD Bangla,1709.0,Talk-show,https://www.youtube.com/watch?v=PAM21_zZvnY
PDfD9Cf6VZo,UClcW8Lfj5zE67tvsQ27lb_g,DD Bangla,2382.0,Talk-show,https://www.youtube.com/watch?v=PDfD9Cf6VZo
PFQP-GJrMpc,UCwO2IsXSjviAoYnaYS2dAhQ,NTV Shows,3893.0,Comedy / Satire,https://www.youtube.com/watch?v=PFQP-GJrMpc
PFpmT5w3GM4,UC5T7NU1C2GRViwJgwLOXk2g,Abhijit Story Zone,4471.0,Audio-book,https://www.youtube.com/watch?v=PFpmT5w3GM4
PHQJifEIEZE,UCFX0lAkJUQwRP19Oi4BN6bA,Salahuddin Sumon,2709.0,Vlog,https://www.youtube.com/watch?v=PHQJifEIEZE
POsfwWfBckk,UCAgSJWQR0kZRm4020_BPNpQ,Abdul Hamid Madani,2401.0,Waz,https://www.youtube.com/watch?v=POsfwWfBckk
